,team_display_name,team_id
484,Quinnipiac,2514
485,Radford,2515
486,Regent,111926
487,Reinhardt,2890
488,Rhode Island,227
489,RI College,226
490,Rice,242
491,Richmond,257
492,Rider,2520
493,RIVIER,111913
494,Rob. Wesleyan,128531
495,Robert Morris,2523
496,Rockford,2524
497,Rocky Mnt,2826
498,Rosemont,465
499,Rust,2892
500,Rutgers,164
501,S Dakota St,2571
502,S Illinois,79
503,S Virginia,2896
504,S Wesleyan,2576
505,Sacramento St,16
506,Sacred Heart,2529
507,Saginaw,129
508,SAGUAIC,112679
509,Saint Joseph's,2603
510,Saint Louis,139
511,Saint Mary's,2608
512,Saint Peter's,2612
513,Saint Vincent,2614
514,Saintmary,603
515,Sam Houston,2534
516,Samford,2535
517,San Diego,301
518,San Diego St,21
519,San Fran State,22
520,San Francisco,2539
521,San José St,23
522,Santa Barbara,2540
523,Santa Clara,2541
524,Sarah Lawrence,108862
525,SC State,2569
526,SC Upstate,2908
527,Schreiner,2544
528,Science & Arts,608
529,SD Tech,7298
530,SE Louisiana,2545
531,SE Missouri,2546
532,Seattle U,2547
533,Seton Hall,2550
534,SF Austin,2617
535,Shawnee State,2893
536,Siena,2561
537,Siena Heights,2562
538,SIUE,2565
539,SMU,2567
540,SMWC,126824
541,So Indiana,88
542,So-New Orleans,2573
543,Sonoma St,2574
544,South Alabama,6
545,South Carolina,2579
546,South Dakota,233
547,South Florida,58
548,Southern,2582
549,Southern Miss,2572
550,Southern Utah,253
551,Spalding,2589
552,Spring Hill,2590
553,Sprngfield,81
554,St Bonaventure,179
555,St Francis PA,2598
556,St John's,2599
557,St Kath,3249
558,St Mary Md,117
559,St Thomas (MN),2900
560,St Thomas (TX),3170
561,St Xavier,2615
562,St. Ambrose,2591
563,St. Andrews,2592
564,St. Francis IL,2595
565,St. Joe's LI,3196
566,Stanford,24
567,Stanislaus St,2616
568,Stanton,128501
569,Sterling (KS),128657
570,Stetson,56
571,Stonehill,284
572,Stony Brook,2619
573,Sul Ross State,2834
574,SUNY Delhi,126848
575,SUNY Potsdam,182
576,SUNYCANTON,111947
577,SUNY-Maritime,2951
578,SUNYONENTA,355
579,SW Adventist,2903
580,SW Asm of God,2904
581,SW Christi,3238
582,SW Minn State,2587
583,Sw Ok St,2927
584,Syracuse,183
585,Tabor,619
586,Talladega,2625
587,Tarleton St,2627
588,TCU,2628
589,Temple,218
590,Tenn Wesl,2632
591,Tennessee,2633
592,Tennessee St,2634
593,Tennessee Tech,2635
594,Texas,251
595,Texas A&M,245
596,Texas A&M-CC,357
597,Texas A&M-Comm,2837
598,Texas Lutheran,2639
599,Texas Southern,2640
600,Texas St,326
601,Texas Tech,2641
602,The Citadel,2643
603,THMAS,2645
604,Tiffin,2838
605,Toccoa Fal,2648
606,Toledo,2649
607,Towson,119
608,Trevecca,2906
609,Trinity (FL),3155
610,Trinity Baptist,3174
611,Trinity Il,2652
612,Troy,2653
613,Truetmccon,3245
614,Truman St,2654
615,Tulane,2655
616,Tulsa,202
617,Tusculum,2839
618,U Southwest,3154
619,UAB,5
620,UAlbany,399
621,UC Davis,302
622,UC Irvine,300
623,UC Riverside,27
624,UC San Diego,28
625,UCF,2116
626,UCLA,26
627,Ucmerced,3185
628,UConn,41
629,UHSP,112686
630,UIC,82
631,UL Monroe,2433
632,UMass,113
633,UMass Lowell,2349
634,UMass-Bstn,2660
635,UMBC,2378
636,UNC Asheville,2427
637,UNC Greensboro,2430
638,UNC Wilmington,350
639,UNLV,2439
640,UNT Dallas,126794
641,USC,30
642,UT Arlington,250
643,UT Martin,2630
644,UT Rio Grande,292
645,UT Tyler,3086
646,Utah,254
647,Utah State,328
648,Utah Tech,3101
649,Utah Valley,3084
650,UTEP,2638
651,UTSA,2636
652,Uw-Riv Fls,2723
653,Va Wesleyn,2672
654,Valley City,628
655,Valparaiso,2674
656,Vanderbilt,238
657,Vanguard,2585
658,Vassar,185
659,VCU,2670
660,Vermont,261
661,Villanova,222
662,Virginia,258
663,Virginia Tech,259
664,VMI,2678
665,Voorhees,2679
666,VT-Lyndon,551
667,Vulynchbrg,3229
668,W Carolina,2717
669,W COLORADO,112694
670,W Illinois,2710
671,W Michigan,2711
672,W New Mex,2703
673,Wagner,2681
674,Wake Forest,154
675,Waldorf,3080
676,Wallawalla,3152
677,Warner Pac,2952
678,Warren Wil,2684
679,Wash and Lee,2688
680,Wash Md,2689
681,Washington,264
682,Washington St,265
683,Weber St,2692
684,Wells College,124846
685,West Virginia,277
686,WESTCLIFF,111910
687,Western KY,98
688,Western Oregon,2848
689,Westfield St,2909
690,Westmont,2716
691,Whittier,2850
692,Wi Stout,2744
693,Wichita St,2724
694,Wil Jessup,3078
695,Wilberforce,2726
696,Wiley,2728
697,Wilkes,398
698,Will Carey,2730
699,Willamette,2930
700,William & Mary,2729
701,William Peace,108807
702,William Woods,2931
703,Winthrop,2737
704,Wisconsin,275
705,Wittenberg,2746
706,Wofford,2747
707,Worcest St,402
708,Wright St,2750
709,Wstmnstrpa,2849
710,Wv Tech,2706
711,Wyoming,2751
712,Xavier,2752
713,Xavier LA,2753
714,Yale,43
715,YORKCOLNEB,109998
716,Youngstown St,2754
